fechas,hora,latitud,longitud,thetao,so,uo,vo,zos,chl,o2,deptho
2010-06-01,,38.26373333,-28.88201667,[19.476516008377075],[35.8287300914526],[-0.007324442267417908],[0.009765923023223877],-0.18097476102411747,0.07112772017717361,235.590087890625,716.1118774414062
2010-07-15,,37.174,-24.21508333,[22.136020995676517],[36.0942411236465],[-0.09155552834272385],[-0.06714072078466415],-0.23194067180156708,0.06965978443622589,224.67361450195312,2855.118896484375
2010-07-16,,37.01601667,-24.27043333,[22.33817560225725],[36.2880336586386],[-0.08911404758691788],[-0.040894802659749985],-0.2414014097303152,0.07009093463420868,224.3511505126953,3933.033935546875
2010-07-18,,36.39713333,-24.5027,[23.24127933382988],[36.446729907765985],[-0.02929776906967163],[-0.0024414807558059692],-0.24231696501374245,0.07426939904689789,218.83087158203125,3303.777099609375
2011-06-04,,38.91811667,-29.22416667,[19.210638754069805],[36.12781148403883],[-0.06958220154047012],[-0.20447401329874992],-0.19318216480314732,0.07969252020120621,236.1288299560547,1852.5699462890625
2011-06-05,,37.6645,-28.67718333,[19.647907957434654],[36.32770772092044],[-0.04150517284870148],[-0.08117923513054848],-0.2520828880369663,0.06944338232278824,235.6136932373047,1688.27001953125
2011-06-12,,39.03065,-27.56006667,[19.205511644482613],[36.21021145954728],[-0.0030518509447574615],[-0.0079348124563694],-0.22309030406177044,0.16803745925426483,239.56494140625,2128.2109375
2011-07-24,,38.7987,-29.6963,[24.673940241336823],[36.29413736052811],[0.023194067180156708],[0.03723258152604103],-0.11261329986155033,0.09600481390953064,214.2825927734375,1788.9659423828125
2011-07-27,,38.501158,-27.950003,[24.486434519290924],[36.26361885108054],[0.017700735479593277],[-0.1355021819472313],-0.13733329251408577,0.09428081661462784,215.04815673828125,1114.7869873046875
2011-07-27,,38.505897,-27.948206,[24.486434519290924],[36.26361885108054],[0.017700735479593277],[-0.1355021819472313],-0.13733329251408577,0.09428081661462784,215.04815673828125,1114.7869873046875
2012-04-29,14:09:00,37.5836,-25.5841,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,14:09:00,37.5836,-25.5841,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,14:09:00,37.5836,-25.5841,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,11:50,37.58192222,-25.55909444,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,11:50,37.58192222,-25.55909444,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,11:50,37.58192222,-25.55909444,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,15:06,37.61085,-25.612425,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,11:14:00,37.5613,-25.5437,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,14:09:00,37.5836,-25.5841,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,11:50,37.58192222,-25.55909444,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-29,15:06,37.61085,-25.612425,[17.758201852440834],[36.16748554632068],[-0.04821924492716789],[-0.03418073058128357],-0.24811548180878162,0.062376394867897034,240.7766876220703,1081.842041015625
2012-04-30,15:31:00,37.6704,-25.7849,[17.681295208632946],[36.169011471793056],[-0.01831110566854477],[-0.08606219664216042],-0.2374340035021305,0.06105876341462135,240.7825927734375,586.8104248046875
2012-05-01,09:04:00,37.6508,-25.4674,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:04:00,37.6508,-25.4674,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,10:23,37.66555833,-25.45688333,[17.529679253697395],[36.107974452897906],[-0.1898251287639141],[-0.043336283415555954],-0.23773918859660625,0.061839424073696136,241.12843322753906,699.5
2012-05-01,09:35:00,37.6509,-25.4672,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:35:00,37.6509,-25.4672,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:48:00,37.6633,-25.4732,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:04:00,37.6508,-25.4674,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:35:00,37.6509,-25.4672,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,09:04:00,37.6508,-25.4674,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-05-01,10:23,37.66555833,-25.45688333,[17.529679253697395],[36.107974452897906],[-0.1898251287639141],[-0.043336283415555954],-0.23773918859660625,0.061839424073696136,241.12843322753906,699.5
2012-05-01,09:35:00,37.6509,-25.4672,[17.582415238022804],[36.11865593120456],[-0.12817773967981339],[-0.010986663401126862],-0.23712881840765476,0.061839424073696136,241.12843322753906,461.27520751953125
2012-06-29,,38.90983333,-28.52428333,[21.889919735491276],[36.21021145954728],[0.006714072078466415],[0.01342814415693283],-0.10162663646042347,0.07436487078666687,226.07211303710938,1344.112060546875
2012-07-13,,37.78626667,-30.11883333,[23.15485091507435],[36.518448404967785],[0.0317392498254776],[0.017700735479593277],-0.06653035059571266,0.07857181876897812,223.4000701904297,1180.032958984375
2013-01-08,09:45,37.60888889,-25.53888889,[16.457380905747414],[36.09118927270174],[-0.06164738908410072],[0.0012207403779029846],-0.19714957103133202,0.07626783847808838,246.4231719970703,1199.43505859375
2013-01-08,09:45,37.60888889,-25.53888889,[16.457380905747414],[36.09118927270174],[-0.06164738908410072],[0.0012207403779029846],-0.19714957103133202,0.07626783847808838,246.4231719970703,1199.43505859375
2013-03-10,14:55,37.58938333,-25.40364167,[15.737388230860233],[36.05761891230941],[0.02136295661330223],[-0.017090365290641785],-0.32227545976638794,0.23826268315315247,252.63381958007812,1301.5379638671875
2013-03-10,14:55,37.58938333,-25.40364167,[15.737388230860233],[36.05761891230941],[0.02136295661330223],[-0.017090365290641785],-0.32227545976638794,0.23826268315315247,252.63381958007812,1301.5379638671875
2013-03-19,10:19:00,37.7457,-25.8036,[16.134373001754284],[36.07135224156082],[-0.0024414807558059692],[0.062257759273052216],-0.22583696991205215,0.16813960671424866,252.04934692382812,423.6286926269531
2013-04-04,09:50,37.66079167,-25.522225,[16.07211524248123],[36.05914483778179],[-0.017090365290641785],[-0.006714072078466415],-0.22522659972310066,0.17858491837978363,252.6653594970703,461.27520751953125
2013-04-04,09:50,37.66079167,-25.522225,[16.07211524248123],[36.05914483778179],[-0.017090365290641785],[-0.006714072078466415],-0.22522659972310066,0.17858491837978363,252.6653594970703,461.27520751953125
2013-04-04,09:40,37.67233333,-25.55076667,[16.064790800213814],[36.05914483778179],[0.0024414807558059692],[-0.008545182645320892],-0.2255317848175764,0.17858491837978363,252.6653594970703,428.7898864746094
2013-04-04,11:30:00,37.6671,-25.4987,[16.07211524248123],[36.05914483778179],[-0.017090365290641785],[-0.006714072078466415],-0.22522659972310066,0.17858491837978363,252.6653594970703,461.27520751953125
2013-04-04,09:40,37.67233333,-25.55076667,[16.064790800213814],[36.05914483778179],[0.0024414807558059692],[-0.008545182645320892],-0.2255317848175764,0.17858491837978363,252.6653594970703,428.7898864746094
2013-04-04,09:50,37.66079167,-25.522225,[16.07211524248123],[36.05914483778179],[-0.017090365290641785],[-0.006714072078466415],-0.22522659972310066,0.17858491837978363,252.6653594970703,461.27520751953125
2013-04-05,14:46,37.68758333,-25.33087778,[16.08749657124281],[36.06677446514368],[-0.051271095871925354],[-0.023194067180156708],-0.2255317848175764,0.20069125294685364,253.30218505859375,1302.5
2013-04-05,14:46,37.68758333,-25.33087778,[16.08749657124281],[36.06677446514368],[-0.051271095871925354],[-0.023194067180156708],-0.2255317848175764,0.20069125294685364,253.30218505859375,1302.5
2013-04-05,15:01:00,37.6885,-25.3237,[16.08749657124281],[36.06677446514368],[-0.051271095871925354],[-0.023194067180156708],-0.2255317848175764,0.20069125294685364,253.30218505859375,1302.5
2013-04-05,14:46,37.68758333,-25.33087778,[16.08749657124281],[36.06677446514368],[-0.051271095871925354],[-0.023194067180156708],-0.2255317848175764,0.20069125294685364,253.30218505859375,1302.5
2013-04-17,13:48,37.682975,-25.44385,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-04-17,13:48,37.682975,-25.44385,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
