fechas,hora,latitud,longitud
2010-01-10,12:03,37.68033333,-25.31845
2010-02-02,11:46,37.57535,-25.28650833
2010-03-11,10:33,37.63591667,-25.38338333
2010-03-11,09:47,37.61957566,-25.366435
2010-03-11,15:15,37.7,-25.6
2010-03-11,14:17,37.63170089,-25.22205566
2010-03-11,10:16,37.7,-25.6
2010-03-31,15:16,38.345,-28.1775
2010-03-31,16:09,38.34611,-28.1375
2010-04-01,16:54,38.3125,-28.30472
2010-04-02,10:06,38.036389,-28.401389
2010-04-09,17:12,38.160278,-28.157222
2010-04-11,15:32:00,37.6872,-25.3194
2010-04-24,11:10,38.341111,-28.27472
2010-05-01,15:28,38.0402,-28.0437
2010-05-01,11:30,37.62255,-25.64915
2010-05-01,14:35,37.7,-25.6
2010-05-01,14:35,37.683,-25.6504
2010-05-01,14:13,37.66025,-25.6533
2010-05-01,12:08,38.288611,-28.20305
2010-05-01,14:27:00,37.683,-25.6504
2010-05-01,14:13:00,37.6586,-25.6531
2010-05-01,14:27,37.68161667,-25.65215833
2010-05-01,11:30:00,37.6203,-25.6481
2010-05-09,10:44,37.57681667,-25.5027
2010-05-09,10:44,37.57681667,-25.5027
2010-05-09,10:33,37.59330833,-25.502425
2010-05-10,11:36,38.31,-28.195
2010-05-10,10:20:00,37.5873,-25.5315
2010-05-10,09:45,37.57893889,-25.64897222
2010-05-11,13:53,37.55548333,-25.50870833
2010-05-11,10:37,37.5839,-25.40882222
2010-05-11,11:25:00,37.5844,-25.4338
2010-05-11,10:37,37.5839,-25.40882222
2010-05-11,14:32,37.49285833,-25.53488333
2010-05-13,10:16:00,37.6478,-25.6961
2010-05-13,08:47,37.7,-25.6
2010-05-13,10:16,37.64851667,-25.69498333
2010-05-14,14:42:00,37.5852,-25.4461
2010-05-14,14:24:00,37.5834,-25.4594
2010-05-14,14:24:00,37.5834,-25.4594
2010-05-14,14:43:00,37.5839,-25.4422
2010-05-14,14:24,37.58278333,-25.46064444
2010-05-14,14:24,37.58278333,-25.46064444
2010-05-14,14:43,37.58938333,-25.43963333
2010-05-14,14:24:00,37.5834,-25.4594
2010-05-14,14:43,37.58938333,-25.43963333
2010-05-14,14:43:00,37.5839,-25.4422
2010-05-14,14:24:00,37.5834,-25.4594
2010-05-15,10:55:00,37.5753,-25.2139
2010-05-16,10:03:00,37.678,-25.357
2010-05-16,14:49:00,37.7404,-25.8497
2010-05-16,10:32:00,37.6509,-25.3406
2010-05-16,10:52,37.61407,-25.846615
2010-05-16,13:52,37.72234571,-25.81185084
2010-05-16,10:50:00,37.653,-25.3618
2010-05-16,13:15:00,37.6217,-25.3931
2010-05-16,13:52:00,37.6901,-25.7536
2010-05-16,14:30:00,37.6273,-25.436
2010-05-16,10:03:00,37.678,-25.357
2010-05-19,09:40:00,37.64,-25.4531
2010-05-19,10:34:00,37.6394,-25.467
2010-05-19,10:34,37.64293333,-25.46715
2010-05-19,10:18:00,37.6278,-25.4765
2010-05-20,10:00,37.57886667,-25.55916667
2010-05-21,09:33,38.31666,-28.2666
2010-05-21,09:58:00,37.6106,-25.6842
2010-05-23,NA,38.72681667,-28.84433333
2010-05-23,NA,38.67905,-29.19651667
2010-05-23,NA,38.63873333,-29.19171667
2010-05-24,14:16:00,37.6767,-25.3078
2010-05-24,13:35,37.7,-25.6
2010-05-24,14:31,37.66843333,-25.282975
2010-05-24,14:16,37.67595,-25.30731667
2010-05-24,NA,37.5208,-26.04653333
2010-05-24,14:31:00,37.667,-25.2834
2010-05-24,14:16,37.67595,-25.30731667
2010-05-25,14:48:00,37.6569,-25.3257
2010-05-25,11:46,38.355833,-28.069444
2010-05-25,14:48:00,37.5993,-25.4063
2010-05-25,14:48,37.60332333,-25.41041667
2010-05-25,14:48:00,37.6569,-25.3257
2010-05-26,NA,37.3412,-24.81025
2010-05-28,11:14,38.358611,-28.27444
2010-05-28,10:48,38.354444,-28.25611
2010-05-29,NA,37.93401667,-25.46946667
2010-05-30,14:37,37.714529,-25.655181
2010-06-01,NA,36.58068333,-23.28535
2010-06-03,10:00:00,37.6137,-25.4104
2010-06-03,10:00:00,37.6137,-25.4104
2010-06-03,10:00,37.61735667,-25.42334333
2010-06-03,09:53:00,37.6155,-25.4318
2010-06-03,10:00,37.61735667,-25.42334333
2010-06-03,10:00:00,37.6137,-25.4104
2010-06-03,10:00:00,37.6174,-25.4239
2010-06-04,14:23,37.71135,-25.907025
2010-06-04,09:10:00,37.6714,-25.3471
2010-06-04,14:15:00,37.5898,-25.37
2010-06-04,10:18:00,37.6894,-25.8479
2010-06-04,10:18,37.68867,-25.84725
2010-06-04,10:18:00,37.6894,-25.8479
2010-06-04,14:23,37.71135,-25.907025
2010-06-05,10:15,37.6412,-25.47834167
2010-06-05,09:10:00,37.7051,-25.2748
2010-06-05,NA,38.77705,-28.07888333
2010-06-05,09:10:00,37.7051,-25.2748
2010-06-06,NA,37.4957,-25.51645
2010-06-06,11:07,37.639275,-25.45983333
2010-06-06,11:07,37.639275,-25.45983333
2010-06-06,10:17,37.7,-25.6
2010-06-06,11:25,37.649175,-25.48056667
2010-06-06,15:00:00,37.5277,-25.5108
2010-06-06,10:53:00,37.6484,-25.4435
2010-06-06,14:12:00,37.5187,-25.5293
2010-06-06,11:00:00,37.6468,-25.4469
2010-06-07,10:55:00,37.6001,-25.5576
2010-06-07,NA,38.51228333,-28.82688333
2010-06-07,10:55:00,37.6001,-25.5576
2010-06-10,10:08:00,37.6654,-25.3931
2010-06-10,09:42:00,37.6707,-25.3776
2010-06-10,12:07,38.259722,-27.901389
2010-06-10,11:25,37.5279,-25.4155
2010-06-10,11:03,37.53415556,-25.39379444
2010-06-10,11:03,37.53415556,-25.39379444
2010-06-10,09:56,37.6609,-25.377
2010-06-10,11:28,37.5279,-25.4155
2010-06-10,10:08:00,37.6654,-25.3931
2010-06-11,NA,37.59915,-25.85601667
2010-06-11,10:46:22,38.5,-28.59
2010-06-11,09:48,37.6376,-25.4679
2010-06-12,10:21:00,37.6126,-25.5267
2010-06-12,10:20:00,37.6141,-25.5248
