fechas,hora,latitud,longitud
2010-05-22,15:49:00,37.6113,-25.2929
2010-05-22,15:44:00,37.5825,-25.2882
2010-05-22,14:41:00,37.5951,-25.2546
2010-05-22,15:44:00,37.5825,-25.2882
2010-05-22,15:44,37.5825,-25.28815
2010-05-22,10:21:00,37.6515,-25.3421
2010-05-22,15:44,37.5825,-25.28815
2010-05-22,16:08:00,37.685,-25.3639
2010-05-22,16:08,37.685,-25.3639
2010-05-22,10:28,37.7002,-25.3671
2010-05-22,10:21,37.65183,-25.342135
2010-05-22,15:49,37.61131,-25.29289
2010-05-22,15:44:00,37.5825,-25.2882
2010-05-22,10:21:00,37.6515,-25.3421
2010-05-22,16:08:00,37.685,-25.3639
2010-05-22,16:08,37.685,-25.3639
2010-05-22,15:49,37.61131,-25.29289
2010-05-22,15:49:00,37.6113,-25.2929
2010-05-22,14:41:00,37.5951,-25.2546
2010-05-22,14:41,37.58909667,-25.23612
2010-05-22,15:49,37.61131,-25.29289
2010-05-22,10:21:00,37.6515,-25.3421
2010-05-22,14:41,37.58909667,-25.23612
2010-05-22,14:41:00,37.5951,-25.2546
2010-05-22,15:49:00,37.6113,-25.2929
2010-05-22,15:44,37.5825,-25.28815
2010-05-22,16:08:00,37.685,-25.3639
2010-05-22,16:08,37.685,-25.3639
2010-05-22,14:41,37.58909667,-25.23612
2010-05-22,10:21,37.65183,-25.342135
2010-05-23,NA,38.00541667,-28.69518333
2010-05-24,10:58,38.45979,-27.625795
2011-03-16,14:05,37.75444167,-25.83341667
2011-03-16,14:05,37.75444167,-25.83341667
2011-03-16,14:05,37.75444167,-25.83341667
2011-04-01,11:36,37.63649167,-25.62093333
2011-04-01,11:36,37.63649167,-25.62093333
2011-04-01,10:17:00,37.6533,-25.5648
2011-04-10,00:00:00,16.194317,-22.94895
2011-04-10,00:00:00,16.1783,-22.964567
2011-04-10,11:35:21,16.217935,-22.94565
2011-04-10,11:35:21,16.217935,-22.94565
2011-04-11,00:00:00,16.190417,-22.943017
2011-04-11,10:21:17,16.128654,-22.932329
2011-04-11,00:00:00,16.176417,-22.93915
2011-04-12,00:00:00,16.1431,-22.9569
2011-04-12,00:00:00,16.141433,-22.95305
2011-04-12,10:32:18,16.128654,-22.932329
2011-04-12,00:00:00,16.132533,-22.952883
2011-04-12,00:00:00,16.132183,-22.94345
2011-04-12,18:06:51,16.128654,-22.932329
2011-04-12,15:55:28,16.128654,-22.932329
2011-04-12,17:03:55,16.128654,-22.932329
2011-04-12,00:00:00,16.19955,-22.957867
2011-04-13,15:01:35,16.128654,-22.932329
2011-04-13,00:00:00,16.191267,-22.9438
2011-04-13,14:49:40,16.128654,-22.932329
2011-04-13,00:00:00,16.185067,-22.938483
2011-04-13,00:00:00,16.218083,-22.924983
2011-04-13,17:01:02,16.128654,-22.932329
2011-04-13,00:00:00,16.105967,-22.9523
2011-04-14,00:00:00,16.119283,-22.9423
2011-04-15,00:00:00,16.184617,-22.968817
2011-04-16,00:00:00,16.114383,-22.937567
2011-04-16,09:58:25,16.128654,-22.932329
2011-04-16,00:00:00,16.23675,-22.89915
2011-04-16,15:18:44,16.128654,-22.932329
2011-04-16,12:48:01,16.128654,-22.932329
2011-04-16,00:00:00,16.099633,-22.990783
2011-04-16,17:47:11,16.128654,-22.932329
2011-04-16,12:23:32,16.128654,-22.932329
2011-04-16,00:00:00,16.220683,-22.959633
2011-04-16,00:00:00,16.1949,-22.93715
2011-04-17,00:00:00,16.138433,-22.933683
2011-04-17,00:00:00,16.082417,-22.9782
2011-04-17,00:00:00,16.13455,-22.959867
2011-04-19,10:22:20,16.128654,-22.932329
2011-04-19,00:00:00,16.1355,-22.941383
2011-04-19,00:00:00,16.208667,-22.950767
